Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2022-12-09 09:21:03,33.93911,67.709953,206504,7839,,,,,Afghanistan,530.4721308313652,,,4,AFG,2178,10
,Albania,2022-12-09 09:21:03,41.1533,20.1683,333490,3594,,,,,Albania,11588.366113002989,,,8,ALB,387,1
,Algeria,2022-12-09 09:21:03,28.0339,1.6596,271135,6881,,,,,Algeria,618.3091243690601,,,12,DZA,218,0
,Andorra,2022-12-09 09:21:03,42.5063,1.5218,47446,158,,,,,Andorra,61406.84656700964,,,20,AND,782,3
,Angola,2022-12-09 09:21:03,-11.2027,17.8739,104808,1925,,,,,Angola,318.89230623933327,,,24,AGO,1677,8
,Antarctica,2022-12-09 09:21:03,-71.9499,23.347,11,0,,,,,Antarctica,,,,10,ATA,0,0
,Antigua and Barbuda,2022-12-09 09:21:03,17.0608,-61.7964,9106,146,,,,,Antigua and Barbuda,9298.668409443671,,,28,ATG,0,0
,Argentina,2022-12-09 09:21:03,-38.4161,-63.6167,9739856,130034,,,,,Argentina,21550.36741596455,,,32,ARG,19624,31
,Armenia,2022-12-09 09:21:03,40.0691,45.0382,445828,8712,,,,,Armenia,15045.318729469222,,,51,ARM,431,3
Australian Capital Territory,Australia,2022-12-09 09:21:03,-35.4735,149.0124,218698,135,,,,,"Australian Capital Territory, Australia",51085.72763373044,,,3601,AUS,8089,7
New South Wales,Australia,2022-12-09 09:21:03,-33.8688,151.2093,3718440,5620,,,,,"New South Wales, Australia",45804.87804878049,,,3602,AUS,137330,144
Northern Territory,Australia,2022-12-09 09:21:03,-12.4634,130.8456,101312,83,,,,,"Northern Territory, Australia",41250.81433224756,,,3603,AUS,2184,4
Queensland,Australia,2022-12-09 09:21:03,-27.4698,153.0251,1714583,2361,,,,,"Queensland, Australia",33517.40787801779,,,3604,AUS,40785,58
South Australia,Australia,2022-12-09 09:21:03,-34.9285,138.6007,830702,1109,,,,,"South Australia, Australia",47293.025903785936,,,3605,AUS,46103,48
Tasmania,Australia,2022-12-09 09:21:03,-42.8821,147.3272,268935,209,,,,,"Tasmania, Australia",50221.288515406166,,,3606,AUS,10955,8
Victoria,Australia,2022-12-09 09:21:03,-37.8136,144.9631,2768656,6132,,,,,"Victoria, Australia",41760.14721187348,,,3607,AUS,94536,236
Western Australia,Australia,2022-12-09 09:21:03,-31.9505,115.8605,1233271,792,,,,,"Western Australia, Australia",46881.73800653844,,,3608,AUS,51631,78
,Austria,2022-12-09 09:21:03,47.5162,14.5501,5600568,21257,,,,,Austria,62184.31337715402,,,40,AUT,119294,188
,Azerbaijan,2022-12-09 09:21:03,40.1431,47.5769,824691,9984,,,,,Azerbaijan,8133.709103551324,,,31,AZE,1099,27
,Bahamas,2022-12-09 09:21:03,25.025885,-78.035889,37491,833,,,,,Bahamas,9533.678492961184,,,44,BHS,62,0
,Bahrain,2022-12-09 09:21:03,26.0275,50.55,696958,1536,,,,,Bahrain,40959.388992485234,,,48,BHR,4073,5
,Bangladesh,2022-12-09 09:21:03,23.685,90.3563,2036730,29436,,,,,Bangladesh,1236.7099584069726,,,50,BGD,669,10
,Barbados,2022-12-09 09:21:03,13.1939,-59.5432,104416,567,,,,,Barbados,36334.91201269439,,,52,BRB,992,7
,Belarus,2022-12-09 09:21:03,53.7098,27.9534,994037,7118,,,,,Belarus,10519.665910386577,,,112,BLR,0,0
Antwerp,Belgium,2022-12-09 09:21:03,51.2195,4.4024,749161,0,,,,,"Antwerp, Belgium",40321.1326673075,,,5601,BEL,3735,0
Brussels,Belgium,2022-12-09 09:21:03,50.8503,4.3517,499779,0,,,,,"Brussels, Belgium",41353.87930249838,,,5602,BEL,3327,0
East Flanders,Belgium,2022-12-09 09:21:03,51.0362,3.7373,628998,0,,,,,"East Flanders, Belgium",41516.26597952298,,,5603,BEL,3068,0
Flemish Brabant,Belgium,2022-12-09 09:21:03,50.9167,4.5833,454772,0,,,,,"Flemish Brabant, Belgium",39677.36165943246,,,5604,BEL,2760,0
Hainaut,Belgium,2022-12-09 09:21:03,50.5257,4.0621,510924,0,,,,,"Hainaut, Belgium",38008.363083703,,,5605,BEL,3113,0
Liege,Belgium,2022-12-09 09:21:03,50.4496,5.8492,414039,0,,,,,"Liege, Belgium",37402.16731466894,,,5606,BEL,1936,0
Limburg,Belgium,2022-12-09 09:21:03,50.9739,5.342,343828,0,,,,,"Limburg, Belgium",39337.42769275829,,,5607,BEL,1783,0
Luxembourg,Belgium,2022-12-09 09:21:03,50.0547,5.4677,121494,0,,,,,"Luxembourg, Belgium",42683.689458189,,,5608,BEL,626,0
Namur,Belgium,2022-12-09 09:21:03,50.331,4.8221,200092,0,,,,,"Namur, Belgium",40477.82329439134,,,5609,BEL,1141,0
Unknown,Belgium,2022-12-09 09:21:03,,,62431,33100,,,,,"Unknown, Belgium",,,,5610,BEL,321,124
Walloon Brabant,Belgium,2022-12-09 09:21:03,50.4,4.35,171312,0,,,,,"Walloon Brabant, Belgium",42446.09129358596,,,5611,BEL,1208,0
West Flanders,Belgium,2022-12-09 09:21:03,51.0536,3.1458,491212,0,,,,,"West Flanders, Belgium",41078.24411521698,,,5612,BEL,2301,0
,Belize,2022-12-09 09:21:03,17.1899,-88.4976,69117,688,,,,,Belize,17382.633211022556,,,84,BLZ,145,1
,Benin,2022-12-09 09:21:03,9.3077,2.3158,27980,163,,,,,Benin,230.7971873428117,,,204,BEN,68,0
,Bhutan,2022-12-09 09:21:03,27.5142,90.4336,62512,21,,,,,Bhutan,8101.481055245383,,,64,BTN,82,0
,Bolivia,2022-12-09 09:21:03,-16.2902,-63.5887,1114914,22252,,,,,Bolivia,9551.19703720431,,,68,BOL,5184,11
,Bosnia and Herzegovina,2022-12-09 09:21:03,43.9159,17.6791,400636,16212,,,,,Bosnia and Herzegovina,12211.477940694616,,,70,BIH,474,28
,Botswana,2022-12-09 09:21:03,-22.3285,24.6849,326800,2793,,,,,Botswana,13896.77350768086,,,72,BWA,456,3
Acre,Brazil,2022-12-09 09:21:03,-9.0238,-70.812,155474,2032,,,,,"Acre, Brazil",17628.736811669794,,,7601,BRA,5469,3
Alagoas,Brazil,2022-12-09 09:21:03,-9.5713,-36.782,327581,7152,,,,,"Alagoas, Brazil",9815.581611436835,,,7602,BRA,5894,22
Amapa,Brazil,2022-12-09 09:21:03,0.902,-52.003,182001,2165,,,,,"Amapa, Brazil",21519.96320342993,,,7603,BRA,3393,1
Amazonas,Brazil,2022-12-09 09:21:03,-3.4168,-65.8561,624146,14405,,,,,"Amazonas, Brazil",15059.26872986686,,,7604,BRA,3466,38
Bahia,Brazil,2022-12-09 09:21:03,-12.5797,-41.7007,1732712,30918,,,,,"Bahia, Brazil",11650.000295836822,,,7605,BRA,27262,118
Ceara,Brazil,2022-12-09 09:21:03,-5.4984,-39.3206,1415111,28035,,,,,"Ceara, Brazil",15496.045916383982,,,7606,BRA,27844,22
Distrito Federal,Brazil,2022-12-09 09:21:03,-15.7998,-47.8645,864274,11835,,,,,"Distrito Federal, Brazil",28663.256466755192,,,7607,BRA,20513,3
Espirito Santo,Brazil,2022-12-09 09:21:03,-19.1834,-40.3089,1269104,14873,,,,,"Espirito Santo, Brazil",31580.3565874112,,,7608,BRA,50785,37
Goias,Brazil,2022-12-09 09:21:03,-15.827,-49.8362,1754289,27650,,,,,"Goias, Brazil",24995.732617647955,,,7609,BRA,20962,59
Maranhao,Brazil,2022-12-09 09:21:03,-4.9609,-45.2744,484466,11012,,,,,"Maranhao, Brazil",6847.400794410772,,,7610,BRA,9429,14
Mato Grosso,Brazil,2022-12-09 09:21:03,-12.6819,-56.9211,835676,14967,,,,,"Mato Grosso, Brazil",23982.900105783785,,,7611,BRA,2795,9
Mato Grosso do Sul,Brazil,2022-12-09 09:21:03,-20.7722,-54.7852,586167,10862,,,,,"Mato Grosso do Sul, Brazil",21092.83745941865,,,7612,BRA,3713,16
Minas Gerais,Brazil,2022-12-09 09:21:03,-18.5122,-44.555,3952942,64038,,,,,"Minas Gerais, Brazil",18673.442427581245,,,7613,BRA,67946,143
Para,Brazil,2022-12-09 09:21:03,-1.9981,-54.9306,854935,18934,,,,,"Para, Brazil",9937.793979098824,,,7614,BRA,8170,41
Paraiba,Brazil,2022-12-09 09:21:03,-7.24,-36.782,682458,10474,,,,,"Paraiba, Brazil",16984.480580130992,,,7615,BRA,27490,67
Parana,Brazil,2022-12-09 09:21:03,-25.2521,-52.0215,2798527,45556,,,,,"Parana, Brazil",24475.57744007608,,,7616,BRA,43128,99
Pernambuco,Brazil,2022-12-09 09:21:03,-8.8137,-36.9541,1095084,22496,,,,,"Pernambuco, Brazil",11458.364178732169,,,7617,BRA,26966,73
Piaui,Brazil,2022-12-09 09:21:03,-7.7183,-42.7289,406778,7979,,,,,"Piaui, Brazil",12427.43017823084,,,7618,BRA,1735,19
Rio Grande do Norte,Brazil,2022-12-09 09:21:03,-5.4026,-36.9541,572471,8511,,,,,"Rio Grande do Norte, Brazil",16324.351206052834,,,7620,BRA,14637,27
Rio Grande do Sul,Brazil,2022-12-09 09:21:03,-30.0346,-51.2177,2789701,41305,,,,,"Rio Grande do Sul, Brazil",24520.017554346887,,,7621,BRA,40033,87
