Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2022-12-14 04:21:04,33.93911,67.709953,206743,7843,,,531.0860794196187,,,3.793598815921216,4,AFG,2092,11
Albania,2022-12-14 04:21:04,41.1533,20.1683,333567,3594,,,11591.041768017236,,,1.0774447112574086,8,ALB,374,0
Algeria,2022-12-14 04:21:04,28.0339,1.6596,271149,6881,,,618.3410506336189,,,2.537719113845155,12,DZA,195,0
Andorra,2022-12-14 04:21:04,42.5063,1.5218,47446,158,,,61406.84656700964,,,0.3330101589175062,20,AND,782,3
Angola,2022-12-14 04:21:04,-11.2027,17.8739,104808,1925,,,318.89230623933327,,,1.8366918555835432,24,AGO,1677,8
Antarctica,2022-12-14 04:21:04,-71.9499,23.347,11,0,,,,,,0.0,10,ATA,0,0
Antigua and Barbuda,2022-12-14 04:21:04,17.0608,-61.7964,9106,146,,,9298.668409443671,,,1.6033384581594552,28,ATG,0,0
Argentina,2022-12-14 04:21:04,-38.4161,-63.6167,9766975,130041,,,21610.37080964445,,,1.3314357823174523,32,ARG,45257,30
Armenia,2022-12-14 04:21:04,40.0691,45.0382,445881,8712,,,15047.107315858282,,,1.9538845566417944,51,ARM,368,3
Australia,2022-12-14 04:21:04,-25.0,133.0,10870758,16492,,,42697.90296036481,,,0.1517097519786568,36,AUS,379659,601
Austria,2022-12-14 04:21:04,47.5162,14.5501,5622037,21272,,,62422.68831053473,,,0.3783681964384083,40,AUT,123175,171
Azerbaijan,2022-12-14 04:21:04,40.1431,47.5769,824943,9989,,,8136.194512867171,,,1.210871539003301,31,AZE,1154,23
Bahamas,2022-12-14 04:21:04,25.025885,-78.035889,37491,833,,,9533.678492961184,,,2.2218665813128484,44,BHS,55,0
Bahrain,2022-12-14 04:21:04,26.0275,50.55,697520,1537,,,40992.41706105432,,,0.2203521045991512,48,BHR,3736,4
Bangladesh,2022-12-14 04:21:04,23.685,90.3563,2036845,29437,,,1236.7797868305815,,,1.4452253362430625,50,BGD,621,8
Barbados,2022-12-14 04:21:04,13.1939,-59.5432,104944,568,,,36518.64662753027,,,0.5412410428418967,52,BRB,992,7
Belarus,2022-12-14 04:21:04,53.7098,27.9534,994037,7118,,,10519.665910386577,,,0.7160699249625517,112,BLR,0,0
Belgium,2022-12-14 04:21:04,50.8333,4.469936,4654473,33133,,,40499.594479632666,,,0.7118528778660871,56,BEL,30222,133
Belize,2022-12-14 04:21:04,17.1899,-88.4976,69376,688,,,17447.770615737096,,,0.9916974169741696,84,BLZ,388,1
Benin,2022-12-14 04:21:04,9.3077,2.3158,27980,163,,,230.7971873428117,,,0.5825589706933524,204,BEN,58,0
Bhutan,2022-12-14 04:21:04,27.5142,90.4336,62521,21,,,8102.647444570587,,,0.0335887141920314,64,BTN,61,0
Bolivia,2022-12-14 04:21:04,-16.2902,-63.5887,1122783,22253,,,9618.608846084422,,,1.9819502076536608,68,BOL,10674,10
Bosnia and Herzegovina,2022-12-14 04:21:04,43.9159,17.6791,400722,16217,,,12214.099240585036,,,4.046945263798843,70,BIH,437,28
Botswana,2022-12-14 04:21:04,-22.3285,24.6849,327061,2793,,,13907.872216020836,,,0.8539691372557413,72,BWA,717,3
Brazil,2022-12-14 04:21:04,-14.235,-51.9253,35696918,691178,,,16793.85455950341,,,1.9362399857601151,76,BRA,735572,2359
Brunei,2022-12-14 04:21:04,4.5353,114.7277,264490,225,,,60457.20633716053,,,0.0850693788044916,96,BRN,16841,0
Bulgaria,2022-12-14 04:21:04,42.7339,25.4858,1289474,38072,,,18557.73486010179,,,2.9525217259130465,100,BGR,5204,102
Burkina Faso,2022-12-14 04:21:04,12.2383,-1.5616,21631,387,,,103.48137741841256,,,1.7890989783181546,854,BFA,0,0
Burma,2022-12-14 04:21:04,21.9162,95.956,633475,19488,,,1164.266492168671,,,3.076364497415052,104,MMR,751,2
Burundi,2022-12-14 04:21:04,-3.3731,29.9189,51276,38,,,431.2248287139423,,,0.0741087448318901,108,BDI,702,0
Cabo Verde,2022-12-14 04:21:04,16.5388,-23.0418,63144,412,,,11357.07964920106,,,0.6524768782465475,132,CPV,437,2
Cambodia,2022-12-14 04:21:04,11.55,104.9167,138302,3056,,,827.215981174918,,,2.2096571271565124,116,KHM,277,0
Cameroon,2022-12-14 04:21:04,3.848,11.5021,123993,1965,,,467.0897131093567,,,1.5847668820014034,120,CMR,0,0
Canada,2022-12-14 04:21:04,60.001,-95.001,4469719,48599,,,11686.729013054086,,,1.0872943019460508,124,CAN,64008,1290
Central African Republic,2022-12-14 04:21:04,6.6111,20.9394,15311,113,,,317.0134192892241,,,0.7380314806348377,140,CAF,22,0
Chad,2022-12-14 04:21:04,15.4542,18.7322,7648,194,,,46.56073085736338,,,2.536610878661088,148,TCD,11,0
Chile,2022-12-14 04:21:04,-35.6751,-71.543,4963204,62749,,,25963.327770689262,,,1.2642841196936494,152,CHL,118519,713
China,2022-12-14 04:21:04,30.5928,114.3055,4167941,16262,,,295.22622271788816,,,0.3901686708137183,156,CHN,1017125,457
Colombia,2022-12-14 04:21:04,4.5709,-74.2973,6317010,141881,,,12414.803374745818,,,2.2460151242439066,170,COL,5651,19
Comoros,2022-12-14 04:21:04,-11.6455,43.3333,8977,161,,,1032.3196430522255,,,1.7934722067505848,174,COM,52,0
Congo (Brazzaville),2022-12-14 04:21:04,-0.228,15.8277,25375,386,,,459.8509774755477,,,1.5211822660098522,178,COG,538,0
Congo (Kinshasa),2022-12-14 04:21:04,-4.0383,21.7587,94714,1457,,,105.7531433964568,,,1.5383153493675696,180,COD,1247,10
Costa Rica,2022-12-14 04:21:04,9.7489,-83.7534,1152466,9051,,,22623.482709652748,,,0.7853593945504683,188,CRI,8050,27
Cote d'Ivoire,2022-12-14 04:21:04,7.54,-5.5471,87902,830,,,333.2363469559704,,,0.9442333507770015,384,CIV,34,1
Croatia,2022-12-14 04:21:04,45.1,15.2,1257412,17427,,,30629.230539881926,,,1.3859419187982935,191,HRV,6968,182
Cuba,2022-12-14 04:21:04,21.521757,-77.781167,1111569,8530,,,9813.778448920666,,,0.7673837611520292,192,CUB,236,0
Cyprus,2022-12-14 04:21:04,35.1264,33.4299,622102,1242,,,51525.76569890861,,,0.1996457172617995,196,CYP,15815,32
Czechia,2022-12-14 04:21:04,49.8175,15.473,4568993,41971,,,42665.05443748061,,,0.9186050405417562,203,CZE,42383,240
Denmark,2022-12-14 04:21:04,56.2639,9.5018,3415044,7657,,,58504.70078785886,,,0.2242138022233388,208,DNK,24168,144
Diamond Princess,2022-12-14 04:21:04,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2022-12-14 04:21:04,11.8251,42.5903,15690,189,,,1588.0534654788148,,,1.2045889101338432,262,DJI,0,0
Dominica,2022-12-14 04:21:04,15.415,-61.371,15760,74,,,21891.625342056646,,,0.4695431472081218,212,DMA,0,0
Dominican Republic,2022-12-14 04:21:04,18.7357,-70.1627,652925,4384,,,6018.904665823002,,,0.67144005819964,214,DOM,3122,0
Ecuador,2022-12-14 04:21:04,-1.8312,-78.1834,1024914,35940,,,5809.162356189912,,,3.5066356787008472,218,ECU,8791,5
Egypt,2022-12-14 04:21:04,26.820553,30.802498,515645,24800,,,503.8823551841115,,,4.809510418989809,818,EGY,0,1
El Salvador,2022-12-14 04:21:04,13.7942,-88.8965,201785,4230,,,3110.9890057369485,,,2.096290606338429,222,SLV,0,0
Equatorial Guinea,2022-12-14 04:21:04,1.6508,10.2679,17184,183,,,1224.8170864264407,,,1.0649441340782122,226,GNQ,2,0
Eritrea,2022-12-14 04:21:04,15.1794,39.7823,10189,103,,,287.3032491575324,,,1.0108941014819903,232,ERI,0,0
Estonia,2022-12-14 04:21:04,58.5953,25.0136,610473,2799,,,46019.98131981042,,,0.4584969359824267,233,EST,1983,42
Eswatini,2022-12-14 04:21:04,-26.5225,31.4659,73908,1422,,,6370.47865646581,,,1.9240136385776911,748,SWZ,200,0
Ethiopia,2022-12-14 04:21:04,9.145,40.4897,495420,7572,,,430.93646446283776,,,1.528400145331234,231,ETH,1082,0
Fiji,2022-12-14 04:21:04,-17.7134,178.065,68553,878,,,7647.214996140306,,,1.2807608711507883,242,FJI,266,0
Finland,2022-12-14 04:21:04,61.9241,25.7482,1417909,7572,,,25590.708641010064,,,0.5340258084263517,246,FIN,45258,659
France,2022-12-14 04:21:04,46.2276,2.2137,38815319,161049,,,59487.22206120864,,,0.4149109273068192,250,FRA,1363764,2052
Gabon,2022-12-14 04:21:04,-0.8037,11.6094,48973,306,,,2200.313784972827,,,0.6248340922549159,266,GAB,28,0
Gambia,2022-12-14 04:21:04,13.4432,-15.3101,12586,372,,,520.8005746764962,,,2.955665024630542,270,GMB,6,0
Georgia,2022-12-14 04:21:04,42.3154,43.3569,1807654,16888,,,45313.98096097564,,,0.9342495853741922,268,GEO,22516,10
Germany,2022-12-14 04:21:04,51.165691,10.451526,36859058,159367,,,44325.71013051514,,,0.4323686188616106,276,DEU,732097,3370
Ghana,2022-12-14 04:21:04,7.9465,-1.0232,171023,1461,,,550.3919889151157,,,0.8542710629564445,288,GHA,51,0
Greece,2022-12-14 04:21:04,39.0742,21.8243,5500737,34614,,,52774.70446287538,,,0.6292611335535584,300,GRC,198412,594
Grenada,2022-12-14 04:21:04,12.1165,-61.679,19644,238,,,17458.384806121634,,,1.2115658725310527,308,GRD,23,0
Guatemala,2022-12-14 04:21:04,15.7835,-90.2308,1174448,19966,,,6555.460957501373,,,1.7000326962113266,320,GTM,26653,41
Guinea,2022-12-14 04:21:04,9.9456,-9.6966,38153,464,,,290.51705075356404,,,1.216156003459754,324,GIN,31,6
Guinea-Bissau,2022-12-14 04:21:04,11.8037,-15.1804,8848,176,,,449.59395283938295,,,1.9891500904159127,624,GNB,0,0
Guyana,2022-12-14 04:21:04,4.860416,-58.93018,71757,1285,,,9122.901142825904,,,1.7907660576668478,328,GUY,286,4
Haiti,2022-12-14 04:21:04,18.9712,-72.2852,33874,860,,,297.0743430429011,,,2.538820334179607,332,HTI,42,0
Holy See,2022-12-14 04:21:04,41.9029,12.4534,29,0,,,3584.672435105068,,,0.0,336,VAT,0,0
Honduras,2022-12-14 04:21:04,15.2,-86.2419,460714,11054,,,4651.511700412576,,,2.3993193174073286,340,HND,3308,13
Hungary,2022-12-14 04:21:04,47.1625,19.5033,2171056,48337,,,22473.885521746102,,,2.226428060814645,348,HUN,17492,226
Iceland,2022-12-14 04:21:04,64.9631,-19.0208,207101,219,,,60688.93772893773,,,0.1057455058160028,352,ISL,298,0
India,2022-12-14 04:21:04,20.593684,78.96288,44675095,530658,,,3237.315437950583,,,1.1878161646886258,356,IND,8928,125
Indonesia,2022-12-14 04:21:04,-0.7893,113.9213,6702132,160287,,,2450.293680486191,,,2.391582260689584,360,IDN,134103,1097
Iran,2022-12-14 04:21:04,32.427908,53.688046,7560247,144658,,,9001.049171351315,,,1.9134030938407167,364,IRN,1216,45
Iraq,2022-12-14 04:21:04,33.223191,43.679291,2464375,25366,,,6126.85640175103,,,1.029307633781385,368,IRQ,2058,5
Ireland,2022-12-14 04:21:04,53.1424,-7.6921,1682409,8231,,,34072.06373045788,,,0.4892389424925806,372,IRL,6686,131
Israel,2022-12-14 04:21:04,31.046051,34.851612,4741232,11920,,,54776.84179417555,,,0.251411447488754,376,ISR,41713,125
Italy,2022-12-14 04:21:04,41.8719,12.5674,24709404,182419,,,40867.77528459775,,,0.7382573857305502,380,ITA,886212,2434
Jamaica,2022-12-14 04:21:04,18.1096,-77.2975,152669,3433,,,5155.714262074909,,,2.248655588233368,388,JAM,363,83
Japan,2022-12-14 04:21:04,36.204824,138.252924,26331295,52051,,,20819.12746164982,,,0.1976773265424279,392,JPN,2912891,4104
Jordan,2022-12-14 04:21:04,31.24,36.51,1746997,14122,,,17122.150632060326,,,0.808358571880776,400,JOR,0,0
Kazakhstan,2022-12-14 04:21:04,48.0196,66.9237,1488306,19056,,,7926.341929924134,,,1.2803818569568357,398,KAZ,2671,3
Kenya,2022-12-14 04:21:04,-0.0236,37.9062,342155,5684,,,636.3152834318679,,,1.6612354050065028,404,KEN,1689,4
Kiribati,2022-12-14 04:21:04,-3.3704,-168.734,3430,13,,,2916.5178647347925,,,0.3790087463556851,296,KIR,0,0
"Korea, North",2022-12-14 04:21:04,40.3399,127.5101,1,6,,,0.0038791542590301,,,600.0,408,PRK,0,0
"Korea, South",2022-12-14 04:21:04,35.907757,127.766922,27925572,31174,,,54468.53327075643,,,0.1116324492834023,410,KOR,1550124,1380
Kosovo,2022-12-14 04:21:04,42.602636,20.902977,272219,3202,,,15036.683190028978,,,1.1762588210227791,383,XKS,24,0
Kuwait,2022-12-14 04:21:04,29.31166,47.481766,662747,2570,,,15518.96084895598,,,0.3877799522291312,414,KWT,237,1
Kyrgyzstan,2022-12-14 04:21:04,41.20438,74.766098,206553,2991,,,3165.955748383209,,,1.4480544944880975,417,KGZ,70,0
Laos,2022-12-14 04:21:04,19.85627,102.495496,217289,758,,,2986.5621266608355,,,0.34884416606455,418,LAO,856,0
Latvia,2022-12-14 04:21:04,56.8796,24.6032,968992,6113,,,51372.652557891466,,,0.6308617615006109,428,LVA,11017,33
Lebanon,2022-12-14 04:21:04,33.8547,35.8623,1221273,10741,,,17892.95110851429,,,0.8794921364838165,422,LBN,1574,20
Lesotho,2022-12-14 04:21:04,-29.61,28.2336,34490,706,,,1609.9879939428229,,,2.046970136271383,426,LSO,0,0
Liberia,2022-12-14 04:21:04,6.428055,-9.429499,8037,294,,,158.9069448286239,,,3.6580813736468833,430,LBR,39,0
Libya,2022-12-14 04:21:04,26.3351,17.228331,507112,6437,,,7380.160368792629,,,1.269344839009923,434,LBY,40,0
Liechtenstein,2022-12-14 04:21:04,47.14,9.55,21124,88,,,55389.77895482078,,,0.4165877674682825,438,LIE,329,1
Lithuania,2022-12-14 04:21:04,55.1694,23.8813,1280625,9442,,,47042.17881189043,,,0.7372962420693021,440,LTU,9123,28
Luxembourg,2022-12-14 04:21:04,49.8153,6.1296,309253,1170,,,49403.33175712807,,,0.3783310105318299,442,LUX,4649,16
MS Zaandam,2022-12-14 04:21:04,,,9,2,,,,,,22.22222222222222,8888,,0,0
Madagascar,2022-12-14 04:21:04,-18.766947,46.869107,67621,1414,,,244.1983084840612,,,2.0910663847029767,450,MDG,762,3
Malawi,2022-12-14 04:21:04,-13.2543,34.3015,88220,2685,,,461.16156572244944,,,3.0435275447744274,454,MWI,147,0
Malaysia,2022-12-14 04:21:04,4.210483999999999,101.975766,5012483,36778,,,15486.879162508754,,,0.733728174240192,458,MYS,60877,215
Maldives,2022-12-14 04:21:04,3.2028,73.2207,185651,311,,,34345.34226757588,,,0.1675186236540606,462,MDV,102,0
Mali,2022-12-14 04:21:04,17.570692,-3.996166,32764,743,,,161.7908674773592,,,2.267732877548529,466,MLI,19,1
Malta,2022-12-14 04:21:04,35.9375,14.3754,116000,809,,,26271.744964770947,,,0.6974137931034483,470,MLT,373,1
Marshall Islands,2022-12-14 04:21:04,7.1315,171.1845,15547,17,,,26615.65062571688,,,0.1093458545056924,584,MHL,158,0
Mauritania,2022-12-14 04:21:04,21.0079,-10.9408,63425,997,,,1364.0782336773011,,,1.571935356720536,478,MRT,8,0
Mauritius,2022-12-14 04:21:04,-20.348404,57.552152,284994,1038,,,22409.29352625127,,,0.3642181940672435,480,MUS,16597,5
Mexico,2022-12-14 04:21:04,23.6345,-102.5528,7165257,330699,,,5606.955806393509,,,4.615312472392826,484,MEX,45459,257
