Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2022-12-20 06:31:32,-35.4735,149.0124,221718,136,,,,51791.17028731605,,,0.0613391785962348,3601,AUS,,,9626,7
New South Wales,Australia,2022-12-20 06:31:32,-33.8688,151.2093,3759120,5694,,,,46305.9866962306,,,0.151471621017685,3602,AUS,,,150146,179
Northern Territory,Australia,2022-12-20 06:31:32,-12.4634,130.8456,102149,84,,,,41591.61237785016,,,0.0822328167676629,3603,AUS,,,2739,5
Queensland,Australia,2022-12-20 06:31:32,-27.4698,153.0251,1729903,2394,,,,33816.88984458997,,,0.1383892622881167,3604,AUS,,,46807,77
South Australia,Australia,2022-12-20 06:31:32,-34.9285,138.6007,842328,1126,,,,47954.91033304868,,,0.1336771423958363,3605,AUS,,,41981,66
Tasmania,Australia,2022-12-20 06:31:32,-42.8821,147.3272,273019,216,,,,50983.94024276377,,,0.0791153729227636,3606,AUS,,,14718,15
Victoria,Australia,2022-12-20 06:31:32,-37.8136,144.9631,2806129,6255,,,,42325.35935685304,,,0.2229049341637537,3607,AUS,,,102987,284
Western Australia,Australia,2022-12-20 06:31:32,-31.9505,115.8605,1244838,807,,,,47321.4475784992,,,0.0648277125216293,3608,AUS,,,46113,72
Antwerp,Belgium,2022-12-20 06:31:32,51.2195,4.4024,750643,0,,,,40147.13354334583,,,0.0,5601,BEL,,,4506,0
Brussels,Belgium,2022-12-20 06:31:32,50.8503,4.3517,500874,0,,,,41114.05247669823,,,0.0,5602,BEL,,,3827,0
East Flanders,Belgium,2022-12-20 06:31:32,51.0362,3.7373,630408,0,,,,41331.31836971523,,,0.0,5603,BEL,,,3949,0
Flemish Brabant,Belgium,2022-12-20 06:31:32,50.9167,4.5833,455788,0,,,,39433.38325360797,,,0.0,5604,BEL,,,3293,0
Hainaut,Belgium,2022-12-20 06:31:32,50.5257,4.0621,512440,0,,,,38047.57803451041,,,0.0,5605,BEL,,,4145,0
Liege,Belgium,2022-12-20 06:31:32,50.4496,5.8492,414838,0,,,,37379.52784285457,,,0.0,5606,BEL,,,2392,0
Limburg,Belgium,2022-12-20 06:31:32,50.9739,5.342,344507,0,,,,39265.87414659722,,,0.0,5607,BEL,,,2126,0
Luxembourg,Belgium,2022-12-20 06:31:32,50.0547,5.4677,121729,0,,,,42450.96808391921,,,0.0,5608,BEL,,,754,0
Namur,Belgium,2022-12-20 06:31:32,50.331,4.8221,200608,0,,,,40458.86509946918,,,0.0,5609,BEL,,,1461,0
Unknown,Belgium,2022-12-20 06:31:32,,,62547,33155,,,,,,,53.008137880314,5610,BEL,,,375,134
Walloon Brabant,Belgium,2022-12-20 06:31:32,50.4,4.35,171813,0,,,,42316.492577933546,,,0.0,5611,BEL,,,1528,0
West Flanders,Belgium,2022-12-20 06:31:32,51.0536,3.1458,492103,0,,,,40976.314485675866,,,0.0,5612,BEL,,,2756,0
Acre,Brazil,2022-12-20 06:31:32,-9.0238,-70.812,157418,2035,,,,17849.16121936424,,,1.2927365358472347,7601,BRA,,,4735,6
Alagoas,Brazil,2022-12-20 06:31:32,-9.5713,-36.782,332694,7178,,,,9968.786677601469,,,2.157538158187404,7602,BRA,,,10488,43
Amapa,Brazil,2022-12-20 06:31:32,0.902,-52.003,182291,2165,,,,21554.253066282305,,,1.1876614863048642,7603,BRA,,,2561,1
